institution_name,PARTIC_MEN,PARTIC_WOMEN,REV_MEN,REV_WOMEN,Sports,Basketball Women,Track and Field Women,Volleyball Women,Soccer Women,Softball Women,Sports
University of Mount Olive,98.0,93.0,547974.0,514003.0,All Track Combined,,,,,,
University of Mount Olive,,15.0,,181962.0,Field Hockey,,,,,,
University of Mount Olive,14.0,11.0,166833.0,202670.0,Golf,,,,,,
University of Mount Olive,48.0,34.0,510670.0,419558.0,Lacrosse,,,,,,
University of Mount Olive,31.0,29.0,358149.0,415048.0,Soccer,,,,,,
University of Mount Olive,,24.0,,282839.0,Softball,,,,,,
University of Mount Olive,9.0,10.0,155424.0,196166.0,Tennis,,,,,,
University of Mount Olive,16.0,18.0,203416.0,299828.0,Volleyball,,,,,,
University of Mount Olive,43.0,,327138.0,,Wrestling,,,,,,
North Carolina A & T State University,40.0,,664751.0,,Baseball,,,,,,
North Carolina A & T State University,19.0,16.0,1266125.0,1205643.0,Basketball,,,,,,
North Carolina A & T State University,91.0,101.0,944551.0,1044818.0,All Track Combined,,,,,,
North Carolina A & T State University,117.0,,2644162.0,,Football,,,,,,
North Carolina A & T State University,9.0,6.0,169771.0,177505.0,Golf,,,,,,
North Carolina A & T State University,,26.0,,484644.0,Softball,,,,,,
North Carolina A & T State University,7.0,8.0,165103.0,214719.0,Tennis,,,,,,
North Carolina A & T State University,,18.0,,492210.0,Volleyball,,,,,,
North Carolina A & T State University,,11.0,,303230.0,Bowling,,,,,,
University of North Carolina at Asheville,35.0,,533114.0,,Baseball,,,,,,
University of North Carolina at Asheville,16.0,12.0,970762.0,849805.0,Basketball,,,,,,
University of North Carolina at Asheville,58.0,49.0,275846.0,502901.0,All Track Combined,,,,,,
University of North Carolina at Asheville,,8.0,,233504.0,Golf,,,,,,
University of North Carolina at Asheville,30.0,25.0,297771.0,326965.0,Soccer,,,,,,
University of North Carolina at Asheville,,33.0,,351831.0,Swimming and Diving,,,,,,
University of North Carolina at Asheville,10.0,9.0,229625.0,263190.0,Tennis,,,,,,
University of North Carolina at Asheville,,15.0,,365995.0,Volleyball,,,,,,
University of North Carolina at Chapel Hill,48.0,,2832554.0,,Baseball,,,,,,
University of North Carolina at Chapel Hill,17.0,16.0,13121288.0,3563126.0,Basketball,,,,,,
University of North Carolina at Chapel Hill,123.0,89.0,1515076.0,1892347.0,All Track Combined,,,,,,
University of North Carolina at Chapel Hill,26.0,20.0,214008.0,206613.0,Fencing,,,,,,
University of North Carolina at Chapel Hill,,28.0,,1657848.0,Field Hockey,,,,,,
University of North Carolina at Chapel Hill,124.0,,43654962.0,,Football,,,,,,
University of North Carolina at Chapel Hill,10.0,10.0,693549.0,693593.0,Golf,,,,,,
University of North Carolina at Chapel Hill,,19.0,,813035.0,Gymnastics,,,,,,
University of North Carolina at Chapel Hill,61.0,42.0,1608472.0,1458240.0,Lacrosse,,,,,,
University of North Carolina at Chapel Hill,,64.0,,634670.0,Rowing,,,,,,
University of North Carolina at Chapel Hill,38.0,38.0,1371515.0,1635915.0,Soccer,,,,,,
University of North Carolina at Chapel Hill,,30.0,,1468204.0,Softball,,,,,,
University of North Carolina at Chapel Hill,34.0,33.0,1034949.0,1212042.0,Swimming and Diving,,,,,,
University of North Carolina at Chapel Hill,12.0,13.0,1091938.0,1391850.0,Tennis,,,,,,
University of North Carolina at Chapel Hill,,20.0,,1295044.0,Volleyball,,,,,,
University of North Carolina at Chapel Hill,45.0,,1130705.0,,Wrestling,,,,,,
University of North Carolina at Charlotte,45.0,,1605526.0,,Baseball,,,,,,
University of North Carolina at Charlotte,15.0,16.0,2886076.0,1535885.0,Basketball,,,,,,
University of North Carolina at Charlotte,141.0,133.0,769854.0,816172.0,All Track Combined,,,,,,
University of North Carolina at Charlotte,128.0,,8936007.0,,Football,,,,,,
